YEAR,GDP
1995.0,5348.63694010128
1995.25,5518.222972735
1995.5,6033.1326672077
1995.75,5995.0574783663205
1996.0,5230.96692741905
1996.25,5330.60339166201
1996.5,5701.310370511271
1996.75,5809.21069653696
1997.0,5210.04305970938
1997.25,5287.95856452872
1997.5,5860.94706088559
1997.75,6018.34228161229
1998.0,5131.89241381373
1998.25,5235.07897888343
1998.5,5345.18371952766
1998.75,5470.67313398558
1999.0,5039.51835036509
1999.25,5402.6015062077
1999.5,5959.87984727334
1999.75,6132.624583197829
2000.0,5614.02344230671
2000.25,5953.66685984089
2000.5,6585.66723123704
2000.75,6641.63242360325
2001.0,5877.8825440951205
2001.25,6257.30386969277
2001.5,6980.80726511126
2001.75,6940.5058826654
2002.0,6101.242080770739
2002.25,6532.62523995925
2002.5,7287.962784776159
2002.75,7370.81724739065
2003.0,6564.936478909311
2003.25,7055.235259155999
2003.5,7739.81647743228
2003.75,7938.37017543973
2004.0,7037.61190539078
2004.25,7619.654079888471
2004.5,8304.823080284828
2004.75,8430.549126316999
2005.0,7431.718172092671
2005.25,8076.83332468178
2005.5,8803.11246510192
2005.75,9088.13195816972
2006.0,7974.23359865543
2006.25,8731.056823981009
2006.5,9524.96768724028
2006.75,9896.975702446829
2007.0,8620.14652014652
2007.25,9481.92771084337
2007.5,10306.015037594001
2007.75,10807.4974670719
2008.0,9413.2
2008.25,10231.0
2008.5,10965.6
2008.75,10667.0
2009.0,8547.1856
2009.25,9085.128
2009.5,10022.5584
2009.75,10389.658000000001
2010.0,8897.6202096
2010.25,9539.3844
2010.5,10403.415619200001
2010.75,10919.530558
2011.0,9191.2416765168
2011.25,9854.1840852
2011.5,10923.58640016
2011.75,11487.346147016002
2012.0,9687.56872704871
2012.25,10287.7681849488
2012.5,11284.0647513653
2012.75,11705.6057238093
2013.0,9813.50712050034
2013.25,10462.6602440929
2013.5,11464.6097873871
2013.75,11998.245866904499
2014.0,9862.57465610284
2014.25,10598.6748272661
2014.5,11567.7912754736
2014.75,12034.2406045052
2015.0,9675.185737636892
2015.25,10238.3198831391
2015.5,11255.460911035801
2015.75,11649.144905161102
2016.0,9636.48499468634
2016.25,10187.1282837234
2016.5,11210.439067391699
2016.75,11684.092339876599
2017.0,9684.66741965977
2017.25,10441.8064908165
2017.5,11412.226970604699
