,GDP_cyclicity
1995.5,0.04810191590082802
1995.75,0.039699026735259935
1996.0,0.026975481054618555
1996.25,0.014554593297175344
1996.5,0.008547322249704337
1996.75,0.00523485668949597
1997.0,0.00555160928408327
1997.25,0.010880150174029879
1997.5,0.010361548808885956
1997.75,0.0035600052355722056
1998.0,-0.013578693536899777
1998.25,-0.042207738808599515
1998.5,-0.06251316456054212
1998.75,-0.06794882914292444
1999.0,-0.05853552141661034
1999.25,-0.03980223999735166
1999.5,-0.022156879041085986
1999.75,-0.007554634993081066
2000.0,0.00521061834782266
2000.25,0.015066908454608452
2000.5,0.01753341563965627
2000.75,0.0156759268134099
2001.0,0.014850436176820025
2001.25,0.012853386092425367
2001.5,0.007824095626576266
2001.75,0.0023018060200783452
2002.0,-0.002840959889873318
2002.25,-0.006156914398671276
2002.5,-0.005976267917109368
2002.75,-0.003935431894809938
2003.0,-0.0037320580231412492
2003.25,-0.004034019199258054
2003.5,-0.0032769949299620293
2003.75,-0.0022371784172605658
2004.0,-0.0010960578782075459
2004.25,-0.002020007962642012
2004.5,-0.004852673375697947
2004.75,-0.0077803833529230815
2005.0,-0.010038874975645484
2005.25,-0.009935009587177746
2005.5,-0.0079827305291289
2005.75,-0.00528495682661223
2006.0,-0.0010666008031936514
2006.25,0.004631595554647205
2006.5,0.01085473993855679
2006.75,0.017453041091604504
2007.0,0.024959579154161915
2007.25,0.034009244845604414
2007.5,0.04510945752880424
2007.75,0.05563813965953557
2008.0,0.06384209435620747
2008.25,0.061790207891821325
2008.5,0.040726224473640826
2008.75,0.007139564470827864
2009.0,-0.025076243833364487
2009.25,-0.04533602457054364
2009.5,-0.049062233130831245
2009.75,-0.043228901659247754
2010.0,-0.03766037174842296
2010.25,-0.031921707300853086
2010.5,-0.026756741354958535
2010.75,-0.023722578984536113
2011.0,-0.018604079432488874
2011.25,-0.011133141035250205
2011.5,-0.003070858126395848
2011.75,0.004202099101567214
2012.0,0.009175014202236653
2012.25,0.011381939403317887
2012.5,0.011451098247032832
2012.75,0.0116160452319658
2013.0,0.012520107091180677
2013.25,0.014793926850767747
2013.5,0.01611036311945213
2013.75,0.01636186873801293
2014.0,0.017510723428120656
2014.25,0.017803792827059794
2014.5,0.014935882325680438
2014.75,0.007687851386851463
2015.0,-0.00031340428660264763
2015.25,-0.00783853713981486
2015.5,-0.012278217253847146
2015.75,-0.013161646605444943
2016.0,-0.013967618831244977
2016.25,-0.0137268639530852
2016.5,-0.012338949568295732
2016.75,-0.008230610409640349
2017.0,-0.0025141528283043613
